size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.16600      5.82100       5.48000       5.41700       5.40100       0.00000       63.10000      36.13300      34.01400      33.62300      33.52200      0.00000      
2048       8.02300       5.42700       5.27700       5.25300       5.26200       5.26100       49.79800      33.68500      32.75300      32.60700      32.66500      32.65800     
4096       6.79800       5.17600       5.06500       5.01400       4.98800       5.00200       42.19900      32.13000      31.44000      31.12100      30.96400      31.04600     
8192       6.11200       4.94600       4.87800       4.87500       4.87800       4.88000       37.94100      30.70000      30.28100      30.26300      30.27800      30.29000     
16384      4.96400       4.75300       4.76400       4.77200       4.78600       4.79200       30.81000      29.50500      29.56800      29.62000      29.70900      29.74400     
32768      4.13900       3.81200       4.02700       4.12800       4.20100       4.23800       25.69400      23.66100      24.99700      25.62500      26.07300      26.30400     
65536      2.18400       2.31100       0.70200       0.71900       0.82200       0.92300       13.55800      14.34500      4.35800       4.46400       5.10500       5.72700      
131072     0.75200       0.26100       0.29200       0.16500       0.16500       0.16600       4.66900       1.62000       1.81000       1.02600       1.02400       1.03000      
262144     0.36000       0.16100       0.15100       0.15200       0.15300       0.15400       2.23500       1.00000       0.93900       0.94500       0.95000       0.95300      
524288     0.19400       0.13600       0.12600       0.12500       0.12600       0.12700       1.20400       0.84100       0.78300       0.77800       0.78500       0.78900      
1048576    0.07000       0.07000       0.07300       0.06700       0.06800       0.06900       0.43600       0.43200       0.45000       0.41500       0.42300       0.42600      
2097152    0.03300       0.00200       0.00200       0.00200       0.00200       0.00100       0.20300       0.01000       0.01200       0.01400       0.01000       0.00800      
4194304    0.03200       0.00100       0.00000       0.00000       0.00000       0.00000       0.19600       0.00400       0.00300       0.00300       0.00300       0.00300      
8388608    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00400       0.00300       0.00300       0.00300       0.00300       0.00300      
