size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.16600      6.86400       6.75000       6.66100       6.71800       0.00000       63.10000      42.60500      41.89700      41.34500      41.70300      0.00000      
2048       8.02300       5.93600       5.83700       5.84700       5.84400       5.85200       49.79800      36.84700      36.23300      36.29300      36.27600      36.32600     
4096       6.79800       5.41000       5.30600       5.24400       5.23800       5.22400       42.19900      33.58300      32.93700      32.54800      32.51600      32.42300     
8192       6.11200       5.04800       4.99000       4.97500       4.96800       4.94200       37.94100      31.33700      30.97100      30.88300      30.83400      30.67900     
16384      4.96400       4.64200       4.57900       4.57900       4.55000       4.48800       30.81000      28.81600      28.42500      28.42300      28.24000      27.85900     
32768      4.13900       3.26100       3.14000       3.08700       3.09200       3.08400       25.69400      20.24000      19.49100      19.16000      19.19500      19.14400     
65536      2.18400       1.92000       0.63400       0.69300       0.72500       0.73600       13.55800      11.91900      3.93300       4.30000       4.50200       4.56900      
131072     0.75200       0.30500       0.35400       0.23800       0.25700       0.26600       4.66900       1.89300       2.19800       1.47900       1.59600       1.65000      
262144     0.36000       0.16700       0.17300       0.18100       0.17200       0.17800       2.23500       1.03800       1.07400       1.12700       1.06500       1.10600      
524288     0.19400       0.12200       0.10800       0.11400       0.11500       0.11300       1.20400       0.75900       0.67100       0.70500       0.71600       0.70100      
1048576    0.07000       0.05500       0.05100       0.04100       0.04300       0.04400       0.43600       0.34100       0.31900       0.25500       0.26600       0.27200      
2097152    0.03300       0.00200       0.00200       0.00200       0.00200       0.00200       0.20300       0.01100       0.01000       0.01200       0.01100       0.01100      
4194304    0.03200       0.00100       0.00100       0.00100       0.00100       0.00100       0.19600       0.00500       0.00500       0.00500       0.00600       0.00600      
8388608    0.00100       0.00100       0.00100       0.00100       0.00100       0.00100       0.00400       0.00400       0.00300       0.00400       0.00500       0.00500      
