size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.01400      7.25500       6.35800       6.78900       7.58600       0.00000       99.67400      42.50100      37.24800      39.77400      44.44100      0.00000      
2048       14.68900      5.77200       5.29700       5.27700       5.46500       5.93100       86.05200      33.81100      31.02800      30.91600      32.01700      34.74700     
4096       12.51700      4.47800       3.98300       3.74300       3.65500       3.66700       73.32800      26.23200      23.33100      21.92900      21.41000      21.48100     
8192       11.11200      2.87100       2.33700       2.20800       2.15700       2.11200       65.09800      16.82000      13.69300      12.93700      12.63600      12.37500     
16384      10.51900      1.62600       0.45800       0.31800       0.27000       0.27400       61.62500      9.52300       2.68400       1.86100       1.57900       1.60500      
32768      8.17100       1.12500       0.15000       0.13800       0.14300       0.15100       47.87000      6.59200       0.88000       0.81000       0.83700       0.88700      
65536      0.35100       0.09500       0.07700       0.06600       0.08000       0.08500       2.05600       0.55600       0.45400       0.38900       0.47100       0.49800      
131072     0.21000       0.02300       0.00600       0.00600       0.00700       0.01300       1.23200       0.13700       0.03500       0.03600       0.04000       0.07800      
262144     0.05200       0.02100       0.00400       0.00400       0.00400       0.00400       0.30700       0.12200       0.02500       0.02500       0.02500       0.02500      
524288     0.02000       0.00400       0.00400       0.00400       0.00400       0.00400       0.12000       0.02500       0.02500       0.02500       0.02500       0.02500      
1048576    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
2097152    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
4194304    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
8388608    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
