size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.01400      8.52700       7.31300       7.37400       7.36000       0.00000       99.67400      49.95200      42.84100      43.19900      43.11600      0.00000      
2048       14.68900      6.61600       6.17600       6.07400       6.10600       6.09900       86.05200      38.76100      36.18000      35.58000      35.77100      35.72900     
4096       12.51700      5.21000       4.85600       4.67500       4.52700       4.54200       73.32800      30.51900      28.44600      27.38700      26.52100      26.60600     
8192       11.11200      3.15500       2.93700       2.86200       2.75600       2.75900       65.09800      18.48500      17.20500      16.76500      16.14400      16.16200     
16384      10.51900      1.60300       0.49400       0.32800       0.30600       0.30600       61.62500      9.39000       2.89300       1.92100       1.79000       1.79300      
32768      8.17100       1.02500       0.14800       0.12300       0.12400       0.12500       47.87000      6.00300       0.86700       0.72200       0.72900       0.73100      
65536      0.35100       0.11500       0.08500       0.04700       0.04300       0.04200       2.05600       0.67200       0.49600       0.27700       0.25000       0.24400      
131072     0.21000       0.03000       0.00600       0.00600       0.00600       0.00600       1.23200       0.17800       0.03400       0.03400       0.03300       0.03300      
262144     0.05200       0.02800       0.00400       0.00400       0.00400       0.00400       0.30700       0.16200       0.02500       0.02500       0.02500       0.02500      
524288     0.02000       0.00400       0.00400       0.00400       0.00400       0.00400       0.12000       0.02500       0.02500       0.02500       0.02500       0.02500      
1048576    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
2097152    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
4194304    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
8388608    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
