size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.01400      7.23300       6.35300       6.89300       14.46700      0.00000       99.67400      42.37100      37.21600      40.38300      84.75000      0.00000      
2048       14.68900      5.74200       5.24000       5.22000       5.47300       12.71200      86.05200      33.64000      30.69800      30.57900      32.06100      74.46900     
4096       12.51700      4.51700       4.00300       3.96200       4.02200       4.38700       73.32800      26.45900      23.44800      23.20900      23.56300      25.70100     
8192       11.11200      2.94300       2.48300       2.39700       2.49700       2.66100       65.09800      17.24200      14.54800      14.04000      14.62900      15.58900     
16384      10.51900      1.76500       0.52800       0.40800       0.44200       0.62200       61.62500      10.34200      3.09400       2.38800       2.58700       3.64600      
32768      8.17100       1.13100       0.16800       0.19100       0.22700       0.32000       47.87000      6.62600       0.98600       1.11800       1.33000       1.87700      
65536      0.35100       0.09400       0.07900       0.06900       0.13000       0.16500       2.05600       0.55100       0.46200       0.40400       0.76100       0.96400      
131072     0.21000       0.02200       0.00600       0.00600       0.00700       0.04400       1.23200       0.13100       0.03500       0.03600       0.04300       0.25600      
262144     0.05200       0.02000       0.00400       0.00400       0.00400       0.00400       0.30700       0.11600       0.02500       0.02500       0.02500       0.02600      
524288     0.02000       0.00400       0.00400       0.00400       0.00400       0.00400       0.12000       0.02500       0.02500       0.02500       0.02500       0.02500      
1048576    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
2097152    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
4194304    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
8388608    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
