size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.01400      7.29600       6.16400       6.17200       6.11600       0.00000       99.67400      42.74300      36.10900      36.15900      35.83100      0.00000      
2048       14.68900      5.95600       5.50600       5.44100       5.47900       5.47100       86.05200      34.89000      32.25300      31.87700      32.09800      32.05200     
4096       12.51700      4.85100       4.55600       4.39500       4.29100       4.31200       73.32800      28.41600      26.69100      25.75000      25.13600      25.26300     
8192       11.11200      3.12000       2.94000       3.04400       3.13100       3.16400       65.09800      18.27600      17.22400      17.83000      18.34100      18.53800     
16384      10.51900      1.73900       0.53200       0.32800       0.27100       0.25000       61.62500      10.19000      3.11800       1.92400       1.58900       1.46300      
32768      8.17100       1.17800       0.16700       0.12100       0.12500       0.12500       47.87000      6.90200       0.97600       0.71100       0.72900       0.73200      
65536      0.35100       0.10300       0.07700       0.06400       0.06500       0.06800       2.05600       0.60300       0.44900       0.37600       0.38200       0.40100      
131072     0.21000       0.03000       0.00600       0.00600       0.00600       0.00600       1.23200       0.17700       0.03400       0.03400       0.03600       0.03700      
262144     0.05200       0.02800       0.00400       0.00400       0.00400       0.00400       0.30700       0.16200       0.02500       0.02500       0.02500       0.02500      
524288     0.02000       0.00400       0.00400       0.00400       0.00400       0.00400       0.12000       0.02500       0.02500       0.02500       0.02500       0.02500      
1048576    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
2097152    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
4194304    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
8388608    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
