size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.01400      8.59800       7.41100       7.51100       7.46000       0.00000       99.67400      50.37200      43.41400      44.00100      43.70400      0.00000      
2048       14.68900      6.60200       6.09100       5.98800       6.04600       6.06800       86.05200      38.67400      35.68300      35.07700      35.42000      35.54600     
4096       12.51700      4.89400       4.39200       4.14500       4.03100       4.10000       73.32800      28.67200      25.72900      24.28300      23.61700      24.01800     
8192       11.11200      2.74800       2.22400       2.16600       2.17000       2.23600       65.09800      16.10100      13.02800      12.68900      12.71000      13.09900     
16384      10.51900      1.45000       0.53200       0.45800       0.44900       0.44700       61.62500      8.49500       3.11800       2.68200       2.63000       2.62100      
32768      8.17100       0.92900       0.19600       0.15200       0.16000       0.15600       47.87000      5.44400       1.14700       0.89000       0.93600       0.91600      
65536      0.35100       0.12900       0.08300       0.04300       0.03900       0.04000       2.05600       0.75800       0.48400       0.25000       0.22900       0.23500      
131072     0.21000       0.03100       0.00800       0.00800       0.00800       0.00800       1.23200       0.18300       0.04400       0.04500       0.04600       0.04800      
262144     0.05200       0.02800       0.00500       0.00600       0.00500       0.00600       0.30700       0.16600       0.03000       0.03300       0.03100       0.03500      
524288     0.02000       0.00400       0.00400       0.00500       0.00500       0.00500       0.12000       0.02500       0.02500       0.02700       0.02700       0.02900      
1048576    0.00400       0.00400       0.00400       0.00400       0.00500       0.00500       0.02500       0.02500       0.02500       0.02500       0.02700       0.02700      
2097152    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
4194304    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
8388608    0.00400       0.00400       0.00400       0.00400       0.00400       0.00400       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
