size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.56500      12.86700      8.16300       7.28200       1.60600       0.00000       78.63400      55.38200      35.13300      31.34200      6.91100       0.00000      
2048       10.43000      4.79900       0.14600       0.18600       0.07200       0.07400       44.01500      19.08700      0.62700       0.76200       0.31200       0.31700      
4096       10.35700      1.82600       2.14500       0.89200       0.07100       0.07100       40.57100      6.98400       8.19000       3.50600       0.30400       0.30600      
8192       8.02600       0.80200       0.17200       0.35800       0.20100       0.17000       33.03700      3.11800       0.71000       1.42600       0.80800       0.70700      
16384      8.14100       0.47100       0.14600       0.51500       0.14100       0.15200       31.42700      1.84800       0.60400       2.03100       0.58600       0.62500      
32768      6.99400       0.25500       0.18400       0.16800       27.08400      0.98500       0.73300       0.67900       0.00000       0.00000       0.00000       0.00000      
65536      3.56800       0.17300       0.22400       0.16500       0.22200       0.20600       13.39800      0.69600       0.84700       0.66700       0.84300       0.79800      
131072     0.24400       0.19900       0.21800       0.19200       0.13200       0.92000       0.77400       0.83100       0.75600       0.55400       0.00000       0.00000      
262144     0.17700       0.20300       0.17700       0.18300       0.19700       0.71200       0.78700       0.70700       0.72600       0.76900       0.00000       0.00000      
524288     0.22500       0.22800       0.21400       0.17800       0.18700       0.85000       0.85800       0.81900       0.71200       0.73900       0.00000       0.00000      
1048576    0.21300       0.20700       0.19400       0.21000       0.81800       0.79900       0.76100       0.80700       0.00000       0.00000       0.00000       0.00000      
2097152    0.20500       0.19100       0.20800       0.23000       0.22900       0.21300       0.79400       0.75200       0.80300       0.86500       0.86200       0.81500      
4194304    0.35200       0.19300       0.20000       0.21000       0.19700       0.19000       1.26100       0.75700       0.77800       0.80700       0.77000       0.74800      
8388608    0.14700       0.20000       0.16200       0.17900       0.18200       0.60400       0.77800       0.65700       0.71200       0.72100       0.00000       0.00000      
