size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.26900      18.48400      15.18000      19.66600      10.39000      0.00000       78.94800      79.56000      65.33800      84.64600      44.72100      0.00000      
2048       6.67900       0.25800       0.13300       0.13500       0.13300       28.28300      1.10900       0.57100       0.58100       0.57100       0.00000       0.00000      
4096       10.48500      0.87500       0.15500       0.09000       0.09200       0.09400       40.60400      3.42400       0.66000       0.38900       0.39400       0.40400      
8192       8.47000       0.34900       0.07400       0.07900       0.07900       0.08000       33.57500      1.50300       0.31900       0.33900       0.34000       0.34600      
16384      8.07000       0.11600       0.05400       0.05400       0.05300       30.48000      0.49700       0.23200       0.23200       0.23000       0.00000       0.00000      
32768      6.84800       0.16100       0.15500       0.04600       0.04600       0.04600       25.57900      0.67000       0.63700       0.19600       0.19700       0.19900      
65536      3.72700       0.22200       0.13700       0.04200       0.04200       0.04300       15.19700      0.85300       0.57300       0.18200       0.18200       0.18300      
131072     0.42500       0.15700       0.21600       0.17400       0.04100       0.04100       1.51300       0.64400       0.82600       0.69800       0.17500       0.17500      
262144     0.29900       0.23200       0.16600       0.04000       0.04000       1.09500       0.87200       0.67000       0.17100       0.17300       0.00000       0.00000      
524288     0.22200       0.20000       0.14800       0.16400       0.05200       0.03900       0.84500       0.78000       0.61100       0.66300       0.22300       0.17000      
1048576    0.04000       0.18100       0.21100       0.55800       0.03900       0.17300       0.72200       0.81200       1.90700       0.16900       0.00000       0.00000      
2097152    0.22200       0.14000       0.13500       0.12700       0.13500       0.03900       0.84200       0.58200       0.56500       0.53600       0.56500       0.16900      
4194304    0.20500       0.19600       0.20800       0.13100       0.03900       0.03900       0.79200       0.76600       0.80300       0.54700       0.16800       0.16800      
8388608    0.17900       0.21500       0.19300       0.03900       0.03900       0.03900       0.71300       0.82000       0.75300       0.16800       0.16800       0.16800      
