size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.11300      14.44200      8.52600       6.75300       7.93500       0.00000       79.50500      54.38300      32.85700      29.06600      34.15200      0.00000      
2048       13.85200      7.47500       4.04100       2.80600       4.89800       6.05100       48.17000      27.29900      14.40500      10.61400      20.96300      26.04200     
4096       3.25300       3.83500       4.01000       0.16500       4.88600       11.41500      13.77200      14.32900      0.69200       21.03100      0.00000       0.00000      
8192       8.98200       1.59800       3.39500       0.62300       32.29900      5.83500       12.69200      2.46500       0.00000       0.00000       0.00000       0.00000      
16384      1.54400       6.31900       2.33300       3.54700       5.41500       21.41400      8.21900       12.63900      0.00000       0.00000       0.00000       0.00000      
32768      0.55500       0.60700       0.99600       1.20600       3.38000       1.92900       2.10400       3.53800       4.24500       12.61300      0.00000       0.00000      
65536      3.44700       0.41900       0.38700       0.46500       0.41700       0.33800       11.85700      1.48700       1.38300       1.62300       1.47900       1.21400      
131072     0.33600       0.45700       0.31400       0.43000       0.26900       0.31700       1.21100       1.60100       1.13500       1.52100       1.00000       1.14400      
262144     0.28600       0.22500       0.28400       0.56700       0.41000       0.24200       1.05700       0.85000       1.04600       1.92800       1.45500       0.90500      
524288     0.53900       0.47100       0.35200       0.44100       1.86400       1.63900       1.26300       1.55400       0.00000       0.00000       0.00000       0.00000      
1048576    0.52500       0.52800       0.43500       0.72700       0.41600       0.21000       1.82000       1.82900       1.53400       2.44000       1.47700       0.80700      
2097152    0.30400       0.23000       0.41900       0.32000       0.31400       0.39000       1.10500       0.86500       1.48400       1.15100       1.13500       1.39400      
4194304    0.30600       0.37500       0.30500       0.19900       0.30700       1.11200       1.34000       1.10700       0.77400       1.11200       0.00000       0.00000      
8388608    0.23300       0.26700       0.23200       0.29100       0.30500       0.87400       0.98900       0.86800       1.06200       1.10400       0.00000       0.00000      
