size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.48400      12.14400      10.99500      5.51100       0.00000       76.11300      45.45900      45.47700      23.72200      0.00000       0.00000       0.00000      
2048       12.73700      2.59200       0.39100       0.17800       0.14900       47.45100      9.86500       1.46500       0.73600       0.63200       0.00000       0.00000      
4096       19.18100      0.94300       0.72000       0.24300       66.69600      3.51000       2.54600       0.95700       0.00000       0.00000       0.00000       0.00000      
8192       9.12400       0.84100       0.65400       0.59300       0.40300       33.78600      2.97500       2.29200       2.10100       1.50600       0.00000       0.00000      
16384      7.93800       3.42800       0.41100       0.74200       0.37700       0.57600       28.33000      11.56000      1.51700       2.56300       1.40700       2.03800      
32768      6.33200       0.60700       0.45000       0.65800       0.44400       0.43300       21.05700      2.10200       1.61200       2.26900       1.60300       1.57700      
65536      3.40300       0.54100       0.46200       0.55300       0.34600       0.44500       11.43900      1.87000       1.61400       1.89300       1.23900       1.56400      
131072     0.45700       1.17300       0.51200       0.41900       0.46500       1.60100       3.95600       1.77600       1.48400       1.62300       0.00000       0.00000      
262144     0.60800       0.46000       0.39600       0.57300       2.03500       1.60800       1.41300       1.94200       0.00000       0.00000       0.00000       0.00000      
524288     0.55100       0.53400       0.43400       0.38800       0.33400       0.39200       1.89400       1.84600       1.53400       1.38600       1.19800       1.39700      
1048576    0.47700       0.39300       0.44900       0.43100       0.54200       0.53800       1.66000       1.40100       1.57600       1.52400       1.86600       1.85600      
2097152    0.55900       0.58700       0.53200       0.85300       0.42700       0.32200       1.90900       1.97200       1.84100       2.90400       1.51000       1.15700      
4194304    0.45900       0.54900       0.42300       0.31600       0.43400       0.46900       1.60300       1.88500       1.49900       1.14000       1.53400       1.63600      
8388608    0.68200       0.38700       0.33600       0.30700       2.29600       1.37600       1.20300       1.10600       0.00000       0.00000       0.00000       0.00000      
