size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.03700      15.23200      13.13300      15.40100      3.89100       0.00000       76.32400      65.55900      56.52600      66.28500      16.74400      0.00000      
2048       10.35600      6.68900       0.26200       0.13600       0.13800       0.13100       44.00800      25.65800      1.12700       0.58700       0.59400       0.56300      
4096       10.71700      0.87000       0.25500       0.08800       0.09000       0.09200       40.66300      3.42000       1.01400       0.37800       0.38700       0.39500      
8192       8.19200       0.51000       0.06900       0.06900       0.06800       33.24500      2.03600       0.29600       0.29600       0.29500       0.00000       0.00000      
16384      8.23800       0.22100       0.30300       0.05300       0.05400       0.05500       32.76500      0.90500       1.16400       0.22900       0.23300       0.23600      
32768      6.95500       0.30100       0.04100       0.04600       0.04700       0.04700       26.67800      1.15800       0.17500       0.19600       0.20000       0.20400      
65536      3.60300       0.17400       0.04200       0.04000       0.04200       0.04300       13.77700      0.70300       0.18000       0.17000       0.18300       0.18400      
131072     0.24000       0.18000       0.04000       0.03900       0.04100       0.90800       0.71700       0.17000       0.16900       0.17700       0.00000       0.00000      
262144     0.36800       0.21700       0.15700       0.04000       0.03900       0.04000       1.31800       0.82700       0.64200       0.17000       0.16900       0.17300      
524288     0.21200       0.20700       0.13600       0.03900       0.03900       0.04000       0.81700       0.80100       0.56600       0.16800       0.16900       0.17100      
1048576    0.40900       0.07700       0.03900       0.03900       0.03900       0.04000       1.45500       0.32900       0.16800       0.16800       0.16900       0.17100      
2097152    0.23600       0.18100       0.12400       0.03900       0.03900       0.04000       0.88400       0.72200       0.52300       0.16800       0.16900       0.17100      
4194304    0.21400       0.17300       0.17900       0.13500       0.03900       0.04000       0.82100       0.69200       0.71100       0.56100       0.16800       0.17100      
8388608    0.24700       0.16200       0.40300       0.03900       0.03900       0.03900       0.92100       0.65000       1.42000       0.16800       0.16900       0.17000      
