size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      1.60300       5.19900       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      2.95500       1.51200       1.50100       9.58500       4.90500       4.87000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      3.68800       1.43500       1.43400       1.43500       1.43900       11.96400      4.65500       4.65100       4.65400       4.66800       0.00000       0.00000      
131072     1.27900       1.27900       1.28000       1.28000       4.14800       4.15000       4.15100       4.15200       0.00000       0.00000       0.00000       0.00000      
262144     0.79400       0.76500       0.77000       0.76100       0.76200       2.57500       2.48300       2.49700       2.46800       2.47300       0.00000       0.00000      
524288     0.75700       4.13800       0.73700       2.45600       11.38900      2.39100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    0.67000       0.68700       0.69200       2.17300       2.22800       2.24600       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.50800       4.09900       0.55800       1.64900       11.92300      1.81100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.30100       0.29100       0.97700       0.94400       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.12100       0.12800       0.39300       0.41600       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
